,Date,compound,negative,neutral,positive,likes,retweets
225,2017-12-15,0.0673,0.0775,0.856,0.0665,26.0,2.0
226,2017-12-16,-0.15515,0.0795,0.847,0.0735,0.0,0.0
227,2017-12-17,0.13105,0.0,0.95625,0.04375,4.75,0.5
228,2017-12-18,-0.2942,0.238,0.762,0.0,0.0,0.0
229,2017-12-19,-0.7988,0.187,0.813,0.0,1.0,0.0
230,2017-12-20,-0.5966,0.175,0.772,0.054,11.0,0.0
231,2017-12-21,0.14985,0.0,0.85875,0.14125,0.5,0.0
232,2017-12-22,0.1366,0.0,0.97,0.03,0.5,0.5
233,2017-12-23,0.14529999999999998,0.08333333333333333,0.7963333333333334,0.12033333333333333,1.0,0.3333333333333333
234,2017-12-24,0.25406,0.0586,0.7656,0.176,0.0,0.0
235,2017-12-25,0.26157142857142857,0.0,0.8407142857142856,0.15928571428571428,0.2857142857142857,0.2857142857142857
236,2017-12-26,0.25060000000000004,0.0,0.8917999999999999,0.10819999999999999,0.8,0.2
237,2017-12-27,0.0393875,0.06275,0.8732500000000001,0.064,5.125,0.25
238,2017-12-28,0.21075,0.0,0.7085,0.2915,0.0,0.0
239,2017-12-29,-0.10925,0.092,0.8345,0.074,0.0,0.0
240,2017-12-30,0.3714,0.0,0.79,0.21000000000000002,0.5,0.0
241,2017-12-31,0.22666666666666668,0.0,0.9053333333333334,0.09466666666666668,0.0,0.0
242,2018-01-01,0.46526666666666666,0.0,0.8533333333333334,0.14666666666666667,1.3333333333333333,0.3333333333333333
243,2018-01-02,0.47905,0.0,0.733,0.267,0.5,0.5
244,2018-01-03,0.2263,0.0,0.888,0.112,1.0,0.0
245,2018-01-04,-0.6386,0.127,0.873,0.0,2.0,0.0
246,2018-01-05,0.39655,0.0,0.8454999999999999,0.1545,1.5,0.0
247,2018-01-06,0.1578,0.03783333333333334,0.8766666666666666,0.0855,2.3333333333333335,0.6666666666666666
248,2018-01-07,0.043199999999999995,0.0511,0.9106,0.0383,18.4,3.0
249,2018-01-08,-0.060200000000000004,0.009833333333333333,0.9858333333333333,0.004333333333333333,0.6666666666666666,0.0
250,2018-01-09,0.32351538461538465,0.012076923076923077,0.8116153846153846,0.1763076923076923,1.8461538461538463,0.23076923076923078
251,2018-01-10,0.0,0.0,1.0,0.0,20.5,3.25
252,2018-01-11,0.2837571428571429,0.0,0.9188571428571429,0.08114285714285714,0.8571428571428571,0.0
253,2018-01-12,0.2083,0.0,0.8076666666666666,0.19233333333333333,1.3333333333333333,0.0
254,2018-01-13,-0.01032,0.028999999999999998,0.9448000000000001,0.0264,1.0,0.0
255,2018-01-14,-0.0116,0.0925,0.833,0.0745,2.25,0.5
256,2018-01-15,0.109225,0.0305,0.88375,0.08574999999999999,0.75,0.375
257,2018-01-16,0.12307499999999999,0.148,0.7777499999999999,0.0745,0.25,0.0
258,2018-01-17,0.0,0.0,1.0,0.0,0.0,0.0
259,2018-01-18,0.0,0.0,1.0,0.0,0.0,0.0
260,2018-01-19,-0.116625,0.061,0.9,0.039,0.25,0.0
261,2018-01-20,0.11435,0.02175,0.92575,0.0525,0.25,0.0
262,2018-01-21,0.127,0.0155,0.95025,0.03425,0.25,0.25
263,2018-01-24,0.12396666666666667,0.049499999999999995,0.8145000000000001,0.136,0.8333333333333334,0.0
264,2018-01-26,0.13659999999999997,0.016666666666666666,0.8748333333333332,0.10833333333333334,0.6666666666666666,0.3333333333333333
265,2018-01-28,0.262625,0.0,0.88825,0.11175,0.0,0.0
266,2018-01-29,0.20804,0.0078,0.9488,0.04340000000000001,0.6,0.0
267,2018-01-30,-0.7941,0.172,0.828,0.0,1.0,0.0
268,2018-01-31,0.0,0.0,1.0,0.0,0.0,0.0
269,2018-02-01,0.0,0.0,1.0,0.0,0.0,0.0
270,2018-02-02,-0.42742,0.20379999999999998,0.761,0.035199999999999995,0.2,0.0
271,2018-02-03,-0.6705,0.297,0.703,0.0,0.0,0.0
272,2018-02-04,-0.3294,0.177,0.823,0.0,0.0,0.0
273,2018-02-05,0.0,0.0,1.0,0.0,0.0,0.0
274,2018-02-07,-0.4215,0.237,0.763,0.0,0.0,0.0
275,2018-02-08,-0.0172,0.03366666666666667,0.9336666666666668,0.03266666666666667,0.0,0.0
276,2018-02-09,0.17426666666666668,0.0,0.9266666666666667,0.07333333333333333,0.0,0.0
277,2018-02-10,-0.021199999999999997,0.07466666666666667,0.8036666666666666,0.12166666666666666,0.0,0.0
278,2018-02-11,-0.28595,0.1905,0.8095,0.0,1.0,0.0
279,2018-02-12,0.0,0.0,1.0,0.0,0.0,0.0
280,2018-02-14,0.2553,0.0,0.8225,0.1775,0.0,0.0
281,2018-02-15,0.12238,0.0548,0.865,0.08,1.8,0.0
282,2018-02-16,0.22639999999999996,0.049999999999999996,0.8410000000000001,0.109,0.3333333333333333,0.0
283,2018-02-17,0.36755,0.0,0.9105,0.0895,0.5,0.0
284,2018-02-18,0.5106,0.0,0.752,0.248,0.0,0.0
