Date,Open,High,Low,Close,Volume,Market Cap
2018-09-22,sty.25,sty.25,sty.25,sty.25,33,12200000
2021-01-18,sty.27,sty.29,sty.25,sty.28,0,14200000
2021-01-19,sty.29,sty.30,sty.17,sty.17,9,13800000
2021-01-20,sty.17,sty.18,01.pa�,sty.16,0,12800000
2021-01-21,sty.15,sty.88,0.9642679,sty.85,55,13400000
2021-01-22,sty.84,02.mar,sty.75,sty.88,3,21400000
2021-01-23,sty.87,sty.90,sty.79,sty.83,0,20700000
2021-01-24,sty.82,sty.88,sty.77,sty.84,0,20600000
2021-01-25,sty.84,sty.97,0.9144164,0.9215018,76,12500000
2021-01-26,0.9158958,0.9823607,0.9158958,0.9765684,0,10700000
2021-01-27,0.9744937,0.9744937,0.8763526,0.9042859,3,10400000
2021-01-28,0.9074748,1.00,0.8930419,0.9903886,0,10600000
2021-01-29,0.9951446,sty.91,0.9748188,sty.71,16,17500000
2021-01-30,sty.72,sty.74,0.2561245,sty.37,210,13900000
2021-01-31,sty.37,sty.53,sty.35,sty.49,8,16300000
2021-02-01,sty.49,sty.56,sty.46,sty.51,0,17000000
2021-02-02,sty.51,sty.59,0.2767322,0.3551402,1200,8900000
2021-02-03,0.3547658,sty.84,0.3543983,sty.84,260,10200000
2021-02-04,sty.84,sty.87,01.wrz,sty.48,15,14900000
2021-02-05,sty.48,sty.51,01.gru,sty.14,4,14000000
2021-02-06,sty.15,sty.22,0.9795514,0.9821959,7,13300000
2021-02-07,0.9768192,0.9907203,0.9393017,0.9717692,0,10900000
2021-02-08,0.9700848,01.sie,0.7406438,0.9217999,307,9500000
2021-02-09,0.9265170,0.9586854,0.0686737,0.2815063,342,5700000
2021-02-10,0.2812282,sty.13,0.2725598,01.gru,152,6400000
2021-02-11,01.gru,sty.81,1.00,01.lip,388,13800000
2021-02-12,01.sie,01.wrz,01.maj,01.lip,0,12000000
2021-02-13,01.lip,sty.76,01.cze,sty.74,54,17300000
2021-02-14,sty.75,sty.92,sty.19,sty.22,1300,17500000
2021-02-15,sty.22,sty.22,sty.16,sty.20,0,13400000
2021-02-16,sty.20,2.00,sty.19,sty.35,69,19300000
2021-02-17,sty.35,sty.57,sty.35,sty.56,5,17000000
2021-02-18,sty.56,sty.57,sty.53,sty.55,0,17500000
2021-02-19,sty.55,sty.56,0.9713726,sty.29,32,12300000
2021-02-20,sty.29,sty.78,sty.28,sty.74,36,17100000
2021-02-21,sty.73,sty.80,sty.72,sty.78,0,19800000
2021-02-22,sty.78,lut.62,sty.55,lut.60,144,19300000
2021-02-23,lut.60,lut.60,sty.16,sty.81,200,17900000
2021-02-24,sty.82,sty.85,0.9186059,0.9445349,107,13500000
2021-02-25,0.9478348,sty.49,0.9293058,sty.42,5,11800000
2021-02-26,sty.41,sty.43,0.9065010,0.9258194,34,14100000
2021-02-27,0.9262974,0.9643012,0.9083727,0.9251808,0,10600000
2021-02-28,0.9214679,sty.26,0.8906078,sty.24,4,13000000
2021-03-01,sty.24,sty.37,sty.24,sty.36,0,14700000
2021-03-02,sty.36,sty.38,sty.30,sty.33,0,15000000
2021-03-03,sty.33,sty.44,sty.32,sty.39,0,15500000
2021-03-04,sty.38,sty.42,sty.31,sty.33,5,15200000
2021-03-05,sty.33,sty.35,sty.28,sty.34,0,14700000
2021-03-06,sty.34,sty.47,sty.30,sty.47,5,15000000
2021-03-07,sty.47,sty.54,sty.47,sty.54,0,16900000
2021-03-08,sty.53,sty.57,sty.49,sty.57,0,17100000
2021-03-09,sty.57,sty.64,sty.37,sty.37,32,17900000
2021-03-10,sty.37,sty.43,sty.33,sty.40,0,15500000
2021-03-11,sty.40,sty.45,sty.36,sty.44,0,15800000
2021-03-12,sty.45,sty.62,sty.39,sty.62,25,16700000
2021-03-13,sty.61,sty.74,sty.59,sty.73,0,18600000
2021-03-14,sty.72,sty.74,sty.67,sty.67,0,19100000
2021-03-15,sty.66,sty.71,sty.56,sty.57,0,18200000
2021-03-16,sty.57,sty.60,sty.51,sty.60,0,17500000
2021-03-17,sty.61,sty.66,sty.53,sty.66,0,17800000
2021-03-18,sty.67,sty.67,sty.58,sty.59,64,18300000
2021-03-19,sty.58,sty.63,sty.45,sty.45,226,17800000
2021-03-20,sty.45,sty.49,sty.45,sty.45,0,16500000
2021-03-21,sty.45,sty.46,sty.40,sty.44,0,16100000
2021-03-22,sty.43,sty.45,sty.35,sty.36,0,16000000
2021-03-23,sty.35,sty.39,sty.33,sty.36,0,15400000
2021-03-24,sty.36,sty.59,sty.34,sty.50,5,16000000
2021-03-25,sty.50,sty.59,sty.48,sty.54,44,17300000
2021-03-26,sty.54,sty.65,sty.54,sty.65,0,17900000
2021-03-27,sty.65,sty.69,sty.62,sty.67,5,18600000
2021-03-28,sty.67,sty.69,sty.64,sty.67,0,18800000
2021-03-29,sty.67,sty.75,sty.65,sty.73,0,19200000
2021-03-30,sty.72,sty.78,sty.71,sty.76,0,19600000
2021-03-31,sty.76,sty.77,sty.55,sty.59,63,18300000
2021-04-01,sty.59,sty.60,sty.57,sty.59,0,17900000
2021-04-02,sty.59,sty.62,sty.52,sty.55,6,17500000
2021-04-03,sty.55,sty.64,sty.51,sty.58,0,17500000
2021-04-04,sty.57,sty.73,sty.56,sty.66,86,18500000
2021-04-05,sty.66,sty.73,sty.63,sty.68,0,18800000
2021-04-06,sty.69,sty.74,sty.65,sty.66,14,19200000
2021-04-07,sty.66,sty.67,sty.59,sty.61,0,18300000
2021-04-08,sty.60,sty.67,sty.23,sty.24,51,17000000
2021-04-09,sty.24,sty.26,sty.24,sty.24,0,14000000
2021-04-10,sty.24,sty.55,sty.24,sty.47,23,16500000
2021-04-11,sty.48,sty.85,sty.47,sty.85,41,18100000
2021-04-12,sty.86,sty.86,sty.76,sty.76,7,20000000
2021-04-13,sty.76,sty.80,sty.46,sty.48,28,18000000
2021-04-14,sty.49,sty.51,sty.44,sty.47,0,16700000
2021-04-15,sty.48,sty.49,sty.45,sty.48,0,16500000
2021-04-16,sty.48,sty.59,sty.40,sty.58,6,16800000
2021-04-17,sty.57,sty.66,sty.48,sty.49,17,17200000
2021-04-18,sty.49,sty.49,sty.30,sty.47,15,16100000
