Date,Unnamed: 0,compound,negative,neutral,positive,likes,retweets,Open,High,Low,Close,Volume,Market Cap,Time Open,Time High,Time Low,Time Close,order_number,risk_of_PAD
2018-07-12,57,0,0.0402127659574468,0.911191489361702,0.048595744680851,11.340425531914894,5.170212765957447,0.0221774000674486,0.0223207995295524,0.0209468007087707,0.0214281007647514,3658220.0,322585378.811,2018-07-12T00:00:00.000Z,2018-07-12T00:49:05.000Z,2018-07-12T23:49:03.000Z,2018-07-12T23:59:59.999Z,2,0
2018-07-13,58,0,0.0213095238095238,0.9183809523809524,0.0603095238095238,7.214285714285714,3.5476190476190474,0.0215134005993604,0.0226262994110584,0.0214092005044221,0.0220049992203712,5274760.0,331270213.445,2018-07-13T00:00:00.000Z,2018-07-13T13:24:00.000Z,2018-07-13T00:14:05.000Z,2018-07-13T23:59:59.999Z,2,0
2018-07-14,59,0,0.0250666666666666,0.9121,0.0628,12.1,4.3,0.0219835005700588,0.0222945995628833,0.0213925000280141,0.0219506993889808,3551400.0,330452764.112,2018-07-14T00:00:00.000Z,2018-07-14T02:44:07.000Z,2018-07-14T09:54:05.000Z,2018-07-14T23:59:59.999Z,2,0
2018-07-15,60,0,0.0184418604651162,0.9222558139534884,0.0592558139534883,8.046511627906977,3.4186046511627906,0.021951200440526,0.0233143996447324,0.0218435004353523,0.0230518002063035,3730570.0,347029070.952,2018-07-15T00:00:00.000Z,2018-07-15T21:14:00.000Z,2018-07-15T02:19:00.000Z,2018-07-15T23:59:59.999Z,2,0
2018-07-16,61,0,0.0146875,0.934,0.0513125,12.0,5.75,0.0230797994881868,0.0251046996563673,0.0225300006568431,0.0248882994055748,6458420.0,374676321.44,2018-07-16T00:00:00.000Z,2018-07-16T23:54:03.000Z,2018-07-16T04:59:03.000Z,2018-07-16T23:59:59.999Z,2,0
2018-07-17,62,0,0.0604,0.874,0.0656,14.633333333333333,5.866666666666666,0.0248725991696119,0.0265931002795696,0.0241675991564989,0.026163600385189,7766240.0,393875090.048,2018-07-17T00:00:00.000Z,2018-07-17T21:44:02.000Z,2018-07-17T06:19:00.000Z,2018-07-17T23:59:59.999Z,2,0
2018-07-18,63,1,0.0052666666666666,0.8983333333333333,0.0963777777777777,6.888888888888889,2.488888888888889,0.0261931996792554,0.0280511993914842,0.0258885007351636,0.0261332001537084,11763000.0,393417438.855,2018-07-18T00:00:00.000Z,2018-07-18T18:14:04.000Z,2018-07-18T22:34:04.000Z,2018-07-18T23:59:59.999Z,2,0
2018-07-19,64,0,0.025125,0.9139375,0.0609375,2.1875,1.0,0.0261151008307933,0.0262716002762317,0.0248681008815765,0.0252438001334667,7655320.0,380028130.615,2018-07-19T00:00:00.000Z,2018-07-19T13:59:03.000Z,2018-07-19T23:29:04.000Z,2018-07-19T23:59:59.999Z,2,0
2018-07-20,65,0,0.0465230769230769,0.8832153846153846,0.070276923076923,3.8615384615384616,1.8307692307692307,0.0252002999186515,0.0252002999186515,0.0223993007093668,0.0226879995316267,7367000.0,341552310.959,2018-07-20T00:00:00.000Z,2018-07-20T00:04:00.000Z,2018-07-20T18:09:00.000Z,2018-07-20T23:59:59.999Z,2,0
2018-07-21,66,0,0.0609629629629629,0.8881481481481481,0.0509259259259259,11.77777777777778,6.0,0.022766999900341,0.0238987002521753,0.0221861004829406,0.0233607999980449,4305530.0,351680854.454,2018-07-21T00:00:00.000Z,2018-07-21T20:49:17.000Z,2018-07-21T01:39:02.000Z,2018-07-21T23:59:59.999Z,2,0
2018-07-22,67,1,0.0036181818181818,0.9048,0.0915636363636363,10.672727272727272,4.745454545454545,0.0233803000301122,0.023888299241662,0.0226626005023717,0.0227754991501569,3964510.0,342869563.569,2018-07-22T00:00:00.000Z,2018-07-22T15:34:02.000Z,2018-07-22T07:34:01.000Z,2018-07-22T23:59:59.999Z,2,0
2018-07-23,68,1,0.0079142857142857,0.9011142857142858,0.0910571428571428,8.0,3.8,0.0226067006587982,0.0235936008393764,0.0224559009075164,0.0225112996995449,6544630.0,338892213.403,2018-07-23T00:00:00.000Z,2018-07-23T04:49:00.000Z,2018-07-23T23:44:01.000Z,2018-07-23T23:59:59.999Z,2,0
